Source value,VIAF URI,VIAF Label
Drinking Water Program (Mass.),https://viaf.org/viaf/138560936,Drinking Water Program (Mass.)
"Dripps, M. (Matthew)",https://viaf.org/viaf/43870556,"Dripps, M. (Matthew)"
"Duetecum, Baptista.",https://viaf.org/viaf/69231996,"Duetecum, Baptista."
Dufrenoy (Firm),https://viaf.org/viaf/312867839,Dufrénoy (Firm)
"Du Halde, J.-B. (Jean-Baptiste), 1674-1743.",https://viaf.org/viaf/59162005,"Du Halde, J.-B. (Jean-Baptiste), 1674-1743"
"Dumas-Vorzet, Ed. (Eduard)",https://viaf.org/viaf/14559868,"Dumas-Vorzet, Ed. (Eduard)"
"Dunbar, Samuel Oliver, 1800-1883.",https://viaf.org/viaf/19596329,"Dunbar, Samuel Oliver, 1800-1883"
"Duperrey, Louis-Isidore, 1786-1865.",https://viaf.org/viaf/54244874,"Duperrey, Louis-Isidore, 1786-1865."
"Dury, Andrew.",https://viaf.org/viaf/71697888,"Dury, Andrew."
"Duval, P. (Pierre), 1619-1682.",https://viaf.org/viaf/54370801,"Duval, P. (Pierre), 1619-1682."
E.P. Dutton (Firm),https://viaf.org/viaf/266034617,E.P. Dutton (Firm)
"Eakin, C. M. (Constant M.)",https://viaf.org/viaf/29410164,"Eakin, C. M. (Constant M.)"
East View Cartographic,https://viaf.org/viaf/131562410,"East View Cartographic, Inc."
"East View Cartographic, Inc.",https://viaf.org/viaf/131562410,"East View Cartographic, Inc."
"Eaton, W. C. (William C.)",https://viaf.org/viaf/78587347,"Eaton, W. C. (William C.)"
"Ebeling, Christophe Daniel, 1741-1817.",https://viaf.org/viaf/34586010,"Ebeling, Christoph Daniel, 1741-1817."
Ed. Holzel (Firm),https://viaf.org/viaf/165665975,Ed. Hölzel (Firm)
Ed. Hölzel(Firm),https://viaf.org/viaf/165665975,Ed. Hölzel (Firm)
"Eddy, John H. (John Henry), 1784-1817.",https://viaf.org/viaf/78660771,"Eddy, John Henry 1784-1817"
"Eddy, R. H. (Robert Henry), 1812-1887.",https://viaf.org/viaf/7283330,"Eddy, R. H. (Robert Henry), 1812-1887"
Edinburgh Geographical Institute.,https://viaf.org/viaf/121660296,Edinburgh Geographical Institute.
"Edmonston, Gertrude J.",https://viaf.org/viaf/66289522,"Edmonston, Gertrude J."
Edward Stanford Ltd.,https://viaf.org/viaf/130105432,Edward Stanford Ltd.
"Ehrmann, Theophil Friedrich, 1762-1811.",https://viaf.org/viaf/27376065,"Ehrmann, Theophil Friedrich, 1762-1811"
"Eisenschmidt, Johann Caspar, 1656-1712.",https://viaf.org/viaf/52082718,"Eisenschmidt, Johann Caspar, 1656-1712"
Ekdotikos Chartographikos Oikos K. Gregoura.,https://viaf.org/viaf/158658941,Ekdotikos Chartographikos Oikos K. Grēgoura
"Eldridge, George, 1821-1879.",https://viaf.org/viaf/16428191,"Eldridge, George, 1821-1879"
Election Commission of India,https://viaf.org/viaf/75233646,Election Commission of India
"Ellicott, Andrew, 1754-1820.",https://viaf.org/viaf/42616871,"Ellicott, Andrew, 1754-1820"
Em. Baerentzen & Co.,https://viaf.org/viaf/126513224,Emilius Bærentzen & Co.
"Endner, Gustav Georg, 1754-1824.",https://viaf.org/viaf/39646154,"Endner, Gustav Georg, 1754-1824"
"Enthoffer, J. (Joseph), 1818-1901.",https://viaf.org/viaf/28508413,"Enthoffer, J. (Joseph), 1818-1901"
"Environmental Systems Research Institute, Inc.",https://viaf.org/viaf/150806221,Environmental systems research institute
"Environmental Systems Research Institute, Inc. (ESRI)",https://viaf.org/viaf/150806221,Environmental systems research institute
Environmental Systems Research Institute (ESRI),https://viaf.org/viaf/150806221,Environmental systems research institute
"Environmental Systems Research Institute (Redlands, Calif.)",https://viaf.org/viaf/150806221,"Environmental Systems Research Institute (Redlands, Calif.)"
Erhard (Firm),https://viaf.org/viaf/136608038,Erhard (Firm)
Erhard Bros. (Firm),https://viaf.org/viaf/123376678,Erhard Bros. (Firm)
Esri,https://viaf.org/viaf/150806221,Environmental systems research institute
ESRI,https://viaf.org/viaf/150806221,Environmental systems research institute
"ESRI, Inc.",https://viaf.org/viaf/150806221,Environmental systems research institute
ESRI.,https://viaf.org/viaf/150806221,Environmental systems research institute
ESRI Geoinformatik,https://viaf.org/viaf/158626249,ESRI Geoinformatik
ESRI Geoinformatik GmbH,https://viaf.org/viaf/127604628,ESRI Geoinformatik GmbH (Kranzberg)
"Estruch y Jordán, Domingo, 1786-1851.",https://viaf.org/viaf/96560720,"Estruch y Jordán, Domingo 1786-1851"
Etablissement géographique de Bruxelles.,https://viaf.org/viaf/154004829,Établissement géographique de Bruxelles
Euratlas-Nussli,https://viaf.org/viaf/186213067,Euratlas-Nüssli (Firm)
"Evans, Lewis, 1700?-1756.",https://viaf.org/viaf/77095575,"Evans, Lewis, 1700?-1756"
"Ewer, Ferdinand C. (Ferdinand Cartwright), 1826-1883.",https://viaf.org/viaf/68105811,"Ewer, Ferdinand C. (Ferdinand Cartwright), 1826-1883"
Exposition universelle de 1867 a Paris. Commission imperiale.,https://viaf.org/viaf/124336872,Exposition universelle de 1867 à Paris. Commission impériale
F.A. Brockhaus (Firm),https://viaf.org/viaf/157914359,F.A. Brockhaus (Firm)
F. Bruckmann KG.,https://viaf.org/viaf/124303204,F.-Bruckmann-KG
"Faden, William, 1749-1836.",https://viaf.org/viaf/12630020,"Faden, William, 1749-1836."
"Faden, William, 1750?-1836.",https://viaf.org/viaf/12630020,"Faden, William, 1749-1836."
"Fairfax, Wilson M. C.",https://viaf.org/viaf/90677674,"Fairfax, Wilson M. C."
"Fairman, Gideon, 1774-1827.",https://viaf.org/viaf/28594254,"Fairman, Gideon, 1774-1827"
"Faucou, Lucien, 1861-1894.",https://viaf.org/viaf/49322725,"Faucou, Lucien, 1861-1894"
Federal Emergency Management Agency (FEMA),https://viaf.org/viaf/149544852,United States. Federal Emergency Management Agency
Federal Railroad Administration (FRA),https://viaf.org/viaf/138970766,United States. Federal Railroad Administration
Ferd. Sacchi e figli.,https://viaf.org/viaf/143446319,Ferd. Sacchi e figli
"Ferguson, James, 1797-1867.",https://viaf.org/viaf/72173142,"Ferguson, James, 1797-1867"
"Finley, A. (Anthony)",https://viaf.org/viaf/90036350,"Finley, A. (Anthony)"
"Fitch, John, 1743-1798.",https://viaf.org/viaf/806443,"Fitch, John, 1743-1798"
"Flyn, engraver.",https://viaf.org/viaf/71194142,Flyn (Engraver)
Food and Agriculture Organization of the United Nations,https://viaf.org/viaf/148396178,Food and Agriculture Organization of the United Nations.
Forman-Bassett-Hatch Company.,https://viaf.org/viaf/137669324,Forman-Bassett-Hatch Company
"Forster, A., engraver.",https://viaf.org/viaf/307466461,"Forster, A. (Engraver)"
Fournier (Firm),https://viaf.org/viaf/132918261,Fournier (Firm)
France. Armée. Service géographique.,https://viaf.org/viaf/142680236,France. Armée. Service géographique
France. Dépôt des cartes et plans de la marine.,https://viaf.org/viaf/129482588,France. Dépôt des cartes et plans de la marine
"Frauenthal, B. W. (Barney W.)",https://viaf.org/viaf/17047419,"Frauenthal, B. W. (Barney W.)"
Freeman & Burr.,https://viaf.org/viaf/153981388,Freeman &Burr
"Freytag, Berndt und Artaria.",https://viaf.org/viaf/132521853,"Freytag, Berndt und Artaria."
"Fridrich, Johann Gottlieb, 1742-1809.",https://viaf.org/viaf/47035687,"Fridrich, Johann Gottlieb, 1742-1809"
"Friebe, Wilhelm Christian, 1762-1811.",https://viaf.org/viaf/44642114,"Friebe, Wilhelm Christian, 1762-1811."
"Fried, F. (Franz), fl. 1811-1868.",https://viaf.org/viaf/61851272,"Fried, F. (Franz), active 1811-1868"
"Friend, Norman M., b. ca. 1815.",https://viaf.org/viaf/59014659,"Friend, Norman M., approximately 1815-"
Friend & Aub.,https://viaf.org/viaf/158718637,Friend & Aub
"Frolov, engraver",https://viaf.org/viaf/46551343,Frolov (Engraver)
"Fuller, Stephen P.",https://viaf.org/viaf/3715976,"Fuller, Stephen P."
G.M. Hopkins & Co.,https://viaf.org/viaf/156004843,G.M. Hopkins & Co.
G.W. & C.B. Colton & Co.,https://viaf.org/viaf/129030183,G.W. & C.B. Colton & Co.
G.W. Bacon & Co.,https://viaf.org/viaf/150094511,G.W. Bacon & Co.
G.W. Bromley & Co.,https://viaf.org/viaf/151244506,G.W. Bromley & Co.
"Gallo, Giovanni, publisher.",https://viaf.org/viaf/29340283,"Gallo, Giovanni (Publisher)"
"Gamble, W. H. (William H.)",https://viaf.org/viaf/48312718,"Gamble, W. H. (William H.)"
"Gannett, Henry, 1846-1914.",https://viaf.org/viaf/61851802,"Gannett, Henry, 1846-1914."
"Gannett, Samuel S. (Samuel Stinson), 1861-1939.",https://viaf.org/viaf/6995092,"Gannett, Samuel S. 1861-1939"
"Gatti, Achilles R. von.",https://viaf.org/viaf/306408747,"Gatti, Achilles R. von."
"Geary, John White, 1819-1873.",https://viaf.org/viaf/67274468,"Geary, John White, 1819-1873"
Gebruder Obpacher.,https://viaf.org/viaf/317051469,Gebr. Obpacher (München)
"Gedney, Thomas R., d. 1857.",https://viaf.org/viaf/68858147,"Gedney, Thomas R., -1857"
Geo. H. Walker & Co.,https://viaf.org/viaf/134927957,Geo. H. Walker & Co.
Geo. K. Snow & Hapgood (Firm),https://viaf.org/viaf/132986223,Geo. K. Snow & Hapgood (Firm)
Geo. W. Stadly & Co.,https://viaf.org/viaf/128180484,Geo. W. Stadly & Co.
"Geographic Data Technology, Inc.",https://viaf.org/viaf/155703710,"Geographic Data Technology, Inc."
"Geographisches Institut (Weimar, Thuringia, Germany)",https://viaf.org/viaf/147045426,"Geographisches Institut (Weimar, Thuringia, Germany)"
Geographisches Institut und Landkarten-Verlag Jul. Straube.,https://viaf.org/viaf/121952071,Geographisches Institut und Landkarten-Verlag Jul. Straube
Geological Survey (U.S.),https://viaf.org/viaf/127757303,Geological Survey (U.S.)
Geological Survey (U.S.). National Mapping Division.,https://viaf.org/viaf/268921183,Geological Survey (U.S.). National Mapping Division
Geological Survey (U.S.). Water Resources Division.,https://viaf.org/viaf/130877137,Geological Survey (U.S.). Water Resources Division
Geological Survey (U.S),https://viaf.org/viaf/127757303,Geological Survey (U.S.)
Geological Survey of New Jersey.,https://viaf.org/viaf/123432796,Geological Survey of New Jersey
"GeoLytics, Inc.",https://viaf.org/viaf/133998187,"GeoLytics, Inc."
George Philip & Son.,https://viaf.org/viaf/134109083,George Philip & Son.
"Georgiades, Athan. S.",https://viaf.org/viaf/76115930,"Georgiadēs, Athan. S."
"Gerrish, E. P.",https://viaf.org/viaf/68734444,"Gerrish, E. P."
GfK Marktforschung GmbH,https://viaf.org/viaf/140426693,GfK-Marktforschung GmbH (Nürnberg)
Giesecke & Devrient.,https://viaf.org/viaf/155164306,Giesecke & Devrient
"Gillberg, Axel, 1859-1928.",https://viaf.org/viaf/307446349,"Gillberg, Axel, 1859-1928"
"Glassbach, Carl Christian, b. 1751.",https://viaf.org/viaf/9436300,"Glassbach, Carl Christian, 1751-"
"Goad, Charles E.",https://viaf.org/viaf/50575152,"Goad, Charles E."
"Goldthwait, J. H.",https://viaf.org/viaf/48970173,"Goldthwait, J. H."
"Gordon, William, 1728-1807.",https://viaf.org/viaf/61535075,"Gordon, William, 1728-1807"
"Gothe de Grote, Carl.",https://viaf.org/viaf/4738482,"Gothe de Grote, Carl"
"Goulart, Jacques, 1580-1622.",https://viaf.org/viaf/56913022,"Goulart, Jacques, 1580-1622"
"Gould, Rupert T. (Rupert Thomas), 1890-1948.",https://viaf.org/viaf/56737849,"Gould, Rupert Thomas, 1890-1948"
"Graham, C. B. (Curtis B.)",https://viaf.org/viaf/42262665,"Graham, C. B. (Curtis B.)"
"Grant, James, surveyor and draughtsman.",https://viaf.org/viaf/29335304,"Grant, James (Surveyor)"
Great Britain. Hydrographic Dept.,https://viaf.org/viaf/151192039,Great Britain. Hydrographic Dept.
Great Britain. Hydrographic Office.,https://viaf.org/viaf/152364347,Great Britain. Hydrographic Office
Great Britain. Ordnance Survey.,https://viaf.org/viaf/142310292,Great Britain. Ordnance Survey
Great Britain. War Office. General Staff. Geographical Section.,https://viaf.org/viaf/125410122,Great Britain. War Office. General Staff. Geographical Section
"Greene, F. V. (Francis Vinton), 1850-1921.",https://viaf.org/viaf/64384322,"Greene, F. V. (Francis Vinton), 1850-1921"
"Greenleaf, Moses, 1777-1834.",https://viaf.org/viaf/13863422,"Greenleaf, Moses, 1777-1834"
"Greenwood, C. (Christopher), 1786-1855.",https://viaf.org/viaf/68961335,"Greenwood, Christopher, 1786-1855"
"Greenwood, J. (John), 1791-1867.",https://viaf.org/viaf/44330763,"Greenwood, John, 1791-1867"
Greven's Kolner Adressbuch Verlag.,https://viaf.org/viaf/148897407,Greven's Kölner Adressbuch Verlag
"Gridley, Richard, ca. 1710-1796.",https://viaf.org/viaf/71697874,"Gridley, Richard, approximately 1710-1796"
"Gruss, Franz, fl. 1770.",https://viaf.org/viaf/34246350,"Gruss, Franz, active 1770"
Guedik-Pacha (Firm),https://viaf.org/viaf/127049601,Guédik-Pacha (Firm)
"Guggenheimer, Weil & Co.",https://viaf.org/viaf/134083509,"Guggenheimer, Weil & Co."
"Güssefeld, F. L. (Franz Ludwig), 1744-1807.",https://viaf.org/viaf/10716144,"Güssefeld, F. L. (Franz Ludwig), 1744-1807."
H.F. Walling's Map Establishment.,https://viaf.org/viaf/131572886,H.F. Walling's Map Establishment
H.H. Lloyd & Co.,https://viaf.org/viaf/138837005,H.H. Lloyd & Co.
H.R. Page & Co.,https://viaf.org/viaf/144251497,H.R. Page & Co.
Hachette (Firm),https://viaf.org/viaf/161063404,Hachette (Firm)
"Hagenbeck, Carl, 1844-1913.",https://viaf.org/viaf/57409284,"Hagenbeck, Carl, 1844-1913"
"Hale, Nathan, 1784-1863.",https://viaf.org/viaf/54136058,"Hale, Nathan, 1784-1863"
"Hales, John Groves.",https://viaf.org/viaf/60322598,"Hales, John Groves"
"Hallberger, Eduard, 1822-1880.",https://viaf.org/viaf/15561070,"Hallberger, Eduard, 1822-1880"
"Halley, Edmond, 1656-1742.",https://viaf.org/viaf/71400665,"Halley, Edmond, 1656-1742"
"Hamilton, Archibald, d. 1792.",https://viaf.org/viaf/36754868,"Hamilton, Archibald, -1792"
"Hamilton, Robert, of Edinburgh.",https://viaf.org/viaf/72923562,"Hamilton, Robert, of Edinburgh"
"Hamlin, Homer, 1864-1920.",https://viaf.org/viaf/32377043,"Hamlin, Homer, 1864-1920"
"Hammett, Charles E. (Charles Edward), 1832-1902.",https://viaf.org/viaf/56460755,"Hammett, Charles E. (Charles Edward), 1832-1902"
"Hardcastle, E. L. F. (Edmund Lafayette), 1824-1899.",https://viaf.org/viaf/46511465,"Hardcastle, E. L. F. (Edmund Lafayette), 1824-1899"
"Hardie, James, 1758-1826.",https://viaf.org/viaf/65121990,"Hardie, James, 1758-1826"
"Harding, Samuel, d. 1755.",https://viaf.org/viaf/59141468,"Harding, Samuel, -1755"
Harper & Brothers.,https://viaf.org/viaf/122099855,Harper & Brothers.
"Harris, Moses, 1731?-1785?",https://viaf.org/viaf/39718627,"Harris, Moses, 1731?-1785?"
"Harrison, William, ca. 1750-1803.",https://viaf.org/viaf/67737800,"Harrison, William, approximately 1750-1803"
Hart & Von Arx.,https://viaf.org/viaf/145522055,Hart & Von Arx
Harvard Graduate School of Design,https://viaf.org/viaf/157422013,"Harvard university, Graduate school of design"
Harvard Map Collection,https://viaf.org/viaf/134059638,Harvard Map Collection
"Harvard Map Collection, Harvard College Library",https://viaf.org/viaf/134059638,Harvard Map Collection
"Harvard Map Collection, Harvard Library",https://viaf.org/viaf/134059638,Harvard Map Collection
Harvard University. Graduate School of Design.,https://viaf.org/viaf/157422013,"Harvard university, Graduate school of design"
Harvard University. Library. Open Collections Program,https://viaf.org/viaf/134047086,Harvard University. Library. Open Collections Program
Harvard University. Museum of Comparative Zoology.,https://viaf.org/viaf/134682709,"Harvard University., Museum of Comparative Zoology"
"Hase, Johann Matthias, 1684-1742.",https://viaf.org/viaf/7522012,"Hase, Johann Matthias, 1684-1742."
"Hassler, F. R. (Ferdinand Rudolph), 1770-1843.",https://viaf.org/viaf/10149458,"Hassler, F. R. (Ferdinand Rudolph), 1770-1843."
"Hawkins, Geo. T. (George T.)",https://viaf.org/viaf/66250248,"Hawkins, Geo. T. (George T.)"
"Hayashi, Yoshinaga.",https://viaf.org/viaf/33242033,"Hayashi, Yoshinaga"
"Hayward, George, b. ca. 1800.",https://viaf.org/viaf/12173660,"Hayward, George, approximately 1800-"
"Hayward, James, 1786-1866.",https://viaf.org/viaf/50792502,"Hayward, James, 1786-1866"
Health Forum (Organization),https://viaf.org/viaf/127632509,Health Forum (Organization)
"Heap, George, fl. 1715-1760.",https://viaf.org/viaf/62788823,"Heap, George, active 1715-1760"
Henderson-Achert-Krebs Lithographing Co.,https://viaf.org/viaf/315190984,Henderson-Achert-Krebs Lithographing Co.
"Hendges, M.",https://viaf.org/viaf/19487031,"Hendges, M."
"Hendschel, U.",https://viaf.org/viaf/59389176,"Hendschel, U."
"Henshall, J., fl. 1828-1850.",https://viaf.org/viaf/9475161,"Henshall, J., active 1828-1850"
"Henshall, J. fl. 1828-1850",https://viaf.org/viaf/9475161,"Henshall, J., active 1828-1850"
"Henshall, J. fl. 1828-1850.",https://viaf.org/viaf/9475161,"Henshall, J., active 1828-1850"
"Henshall, W.",https://viaf.org/viaf/308780104,"Henshall, W."
"Herisson, Eustache, b. 1759.",https://viaf.org/viaf/87531820,"Hérisson, Eustache, 1759-1816"
"Herndon, William Lewis, 1813-1857.",https://viaf.org/viaf/37283176,"Herndon, William Lewis, 1813-1857"
"Hilgard, J. E. (Julius Erasmus), 1825-1891.",https://viaf.org/viaf/20441198,"Hilgard, Julius Erasmus, 1825-1891"
"Hill, Samuel, 1766?-1804.",https://viaf.org/viaf/26069784,"Hill, Samuel, approximately 1766-1804"
"Hinton, John, d. 1781.",https://viaf.org/viaf/66768685,"Hinton, John, -1781"
"Hipschmann, Sigmund Gabriel, 1639-",https://viaf.org/viaf/18130283,"Hipschmann, Sigmund Gabriel, 1639-"
Historical Society of Southern California.,https://viaf.org/viaf/151980659,Historical Society of Southern California
"Hitchcock, Edward, 1793-1864.",https://viaf.org/viaf/30315725,"Hitchcock, Edward, 1793-1864"
"Hitchcock, Edward, 1828-1911.",https://viaf.org/viaf/76662695,"Hitchcock, Edward, 1828-1911"
"Hitchcock, Edwin S., 1834-1862.",https://viaf.org/viaf/13964616,"Hitchcock, Edwin S., 1834-1862"
Hoare & Reeves.,https://viaf.org/viaf/151393585,Hoare & Reeves
Hoffensberg & Traps.,https://viaf.org/viaf/316642885,Hoffensberg & Trap.
"Hoffmann, Johannes, 1629-1698.",https://viaf.org/viaf/2541140,"Hoffmann, Johann, 1629-1698"
"Holland, Samuel, 1728-1801.",https://viaf.org/viaf/42110491,"Holland, Samuel, 1728-1801"
"Holme, Thomas, d. 1695.",https://viaf.org/viaf/29835640,"Holme, Thomas, 1624-1695"
"Homann, Johann Baptist, 1663-1724.",https://viaf.org/viaf/47031432,"Homann, Johann Baptist, 1663-1724"
"Homann, Johann Christoph, 1703-1730.",https://viaf.org/viaf/74749664,"Homann, Johann Christoph, 1703-1730"
Homann Erben (Firm),https://viaf.org/viaf/139264168,Homann Erben (Firm)
"Hondius, Jodocus, 1563-1612.",https://viaf.org/viaf/56911926,"Hondius, Jodocus, 1563-1612."
"Hooker, William, 1782-1856.",https://viaf.org/viaf/49091128,"Hooker, William, 1782-1856"
"Hopkins, H. W. (Henry Whitmer), 1838-1920.",https://viaf.org/viaf/24538904,"Hopkins, H.W. (Henry Whitmer), 1838-1920"
"Hubbard, Lucius L. (Lucius Lee), 1849-1933.",https://viaf.org/viaf/54057874,"Hubbard, Lucius L. (Lucius Lee), 1849-1933"
"Humble, George, d. 1640.",https://viaf.org/viaf/47065763,"Humble, George, -1640"
"Humboldt, Alexander von, 1769-1859.",https://viaf.org/viaf/95193235,"Humboldt, Alexander von 1769-1859"
"Humphreys, A. A. (Andrew Atkinson), 1810-1883.",https://viaf.org/viaf/389720,"Humphreys, Andrew Atkinson, 1810-1883"
"Hurd, D. F.",https://viaf.org/viaf/305039006,"Hurd, D. F."
"Hutchins, Thomas, 1730-1789.",https://viaf.org/viaf/30615128,"Hutchins, Thomas, 1730-1789"
"Imbreghts, P.",https://viaf.org/viaf/63812219,"Imbreghts, P."
Imprimerie Lemercier et cie.,https://viaf.org/viaf/144153427,Imprimerie Lemercier et cie.
Indian Council of Agricultural Research. National Bureau of Soil Survey and Land Use Planning.,https://viaf.org/viaf/127853782,Indian Council of Agricultural Research. National Bureau of Soil Survey and Land Use Planning
Industrial World Co.,https://viaf.org/viaf/137582537,Industrial World Co.
"Industrie-Comptoir (Weimar, Thuringia, Germany)",https://viaf.org/viaf/132607860,"Industrie-Comptoir (Weimar, Thuringia, Germany)"
"Institut fur Europaische Geschichte (Mainz, Rhineland-Palatinate, Germany)",https://viaf.org/viaf/157835031,Institut für Europäische Geschichte Mainz.
Institut geographique du Burundi,https://viaf.org/viaf/141961785,Institut géographique du Burundi
Institut geographique national (France),https://viaf.org/viaf/125048596,Institut géographique national (France)
Institut géographique national (France),https://viaf.org/viaf/125048596,Institut géographique national (France)
ISciences,https://viaf.org/viaf/123500330,ISciences (Firm)
ISciences (Firm),https://viaf.org/viaf/123500330,ISciences (Firm)
J. & C. Walker (Firm),https://viaf.org/viaf/122125818,J. & C. Walker (Firm)
J. & G. Menzies.,https://viaf.org/viaf/121292861,J. & G. Menzies
J. & W. Emslie.,https://viaf.org/viaf/136416295,J. &W. Emslie
J. Covens & Zoon.,https://viaf.org/viaf/139476098,J. Covens & Zoon (Firm)
J.F. & C.A. Watson Lithrs.,https://viaf.org/viaf/145852333,J.F. & C.A. Watson Lithrs.
J.G. Cotta'sche Buchhandlung.,https://viaf.org/viaf/148470623,J.G. Cotta'sche Buchhandlung
J.H. Bufford's Lith.,https://viaf.org/viaf/125946075,J.H. Bufford's Lith.
J.H. Bufford & Co.,https://viaf.org/viaf/151244736,J.H. Bufford & Co.
J.H. Colton & Co.,https://viaf.org/viaf/144282301,J.H. Colton & Co.
J.L. Cox and Sons.,https://viaf.org/viaf/143544410,J.L. Cox and Sons
J. Mayer & Co.,https://viaf.org/viaf/153674091,J. Mayer & Co.
"Jacobsz, Anthonie, 1606?-1650.",https://viaf.org/viaf/39681133,"Jacobsz, Anthonie 1606?-1650?"
"Jacobsz, Theunis, 1632?-1679.",https://viaf.org/viaf/8937931,"Jacobsz, Theunis, 1632?-1679"
"Jacotin, Pierre, 1765-1827.",https://viaf.org/viaf/17526483,"Jacotin, Pierre, 1765-1827"
"Jaettnig, Karl, 1796-1835.",https://viaf.org/viaf/35596200,"Jaettnig, Karl, 1796-1835"
"Jaillot, Alexis Hubert, 1632?-1712.",https://viaf.org/viaf/59385948,"Jaillot, Alexis-Hubert, 1632?-1712"
"James, H., 1803-1877.",https://viaf.org/viaf/45145602409901360525,"James, H., 1803-1877"
"Jansson, Jan, 1588-1664.",https://viaf.org/viaf/34144648241061510121,"Jansson, Jan, 1588-1664."
Japan Tsurisuto Byuro,https://viaf.org/viaf/152298335,Japan Tsūrisuto Byūrō
"Jefferys, Thomas, d. 1771.",https://viaf.org/viaf/110645675,"Jefferys, Thomas, -1771"
Jno. Mount and Tho. Page.,https://viaf.org/viaf/125896785,Jno. Mount and Tho. Page
John Bartholomew and Son.,https://viaf.org/viaf/121789107,John Bartholomew and Son.
John Mohr Co.,https://viaf.org/viaf/130457898,John Mohr Co.
"Johnston, Alexander Keith, 1804-1871.",https://viaf.org/viaf/22441278,"Johnston, Alexander Keith, 1804-1871."
"Johnston, Keith, 1844-1879.",https://viaf.org/viaf/34756587,"Johnston, Keith, 1844-1879"
John Thomson & Co.,https://viaf.org/viaf/142495444,John Thomson & Co.
"Jomard, M. (Edme-François), 1777-1862.",https://viaf.org/viaf/2511766,"Jomard, Edmé-François, 1777-1862"
"Jorio, Andrea de, 1769-1851.",https://viaf.org/viaf/34585858,"Jorio, Andrea de 1769-1851"
Julius Bien & Co.,https://viaf.org/viaf/145337706,Julius Bien & Co.
"Justus Perthes (Firm : Gotha, Germany)",https://viaf.org/viaf/149664474,"Justus Perthes (Firm : Gotha, Germany)"
"Kaempfer, Engelbert, 1651-1716.",https://viaf.org/viaf/41858358,"Kaempfer, Engelbert, 1651-1716."
"Kane, Elisha Kent, 1820-1857.",https://viaf.org/viaf/64309736,"Kane, Elisha Kent, 1820-1857."
Kansas City (Mo.). Board of Park Commissioners.,https://viaf.org/viaf/135487645,"Kansas City, Mo. Board of Park Commissioners"
Kelly's Directories Ltd.,https://viaf.org/viaf/264635039,Kelly's Directories Ltd.
"Kennedy, Archibald, fl. 1850.",https://viaf.org/viaf/38188068,"Kennedy, Archibald, active 1850"
"Kessler, George Edward, 1862-1923.",https://viaf.org/viaf/13958678,"Kessler, George Edward, 1862-1923"
"Keulen, Gerard van.",https://viaf.org/viaf/104048608,"Keulen, Gerard van."
"Key, John Ross, 1832-1920.",https://viaf.org/viaf/44170261,"Key, John Ross (American painter, 1832-1920)"
"Kiepert, Heinrich, 1818-1899.",https://viaf.org/viaf/5074884,"Kiepert, Heinrich, 1818-1899."
Kiessling & cie.,https://viaf.org/viaf/126135559,Kiessling & cie
"King, Philip Burke, 1903-",https://viaf.org/viaf/246162615,"King, Philip Burke, 1903-"
King County (Wash.). Dept. of Natural Resources and Parks,https://viaf.org/viaf/137554757,King County (Wash.). Department of Natural Resources and Parks
King County (Wash.). Transit Division.,https://viaf.org/viaf/150402228,King County (Wash.). Transit Division
King County (Wash.). Water and Land Resources Division,https://viaf.org/viaf/148072344,King County (Wash.). Water and Land Resources Division
King County (Wash.). Water and Land Resources Division.,https://viaf.org/viaf/148072344,King County (Wash.). Water and Land Resources Division
King County (Wash). Water and Land Resources Division.,https://viaf.org/viaf/148072344,King County (Wash.). Water and Land Resources Division
King County GIS Center,https://viaf.org/viaf/249892817,King County GIS Center
"Kitchin, Thomas, 1718-1784.",https://viaf.org/viaf/37186414,"Kitchin, Thomas, 1718-1784."
"Kitchin, Thomas, d. 1784.",https://viaf.org/viaf/37186414,"Kitchin, Thomas, 1718-1784."
"Kliewer d. Ä., Heinrich, 1793-1840.",https://viaf.org/viaf/37839007,"Kliewer, Heinrich fl. 1793-1840"
"Knight, Charles, 1743-1827?",https://viaf.org/viaf/89122570,"Knight, Charles, 1743-1827?"
"Knorr, E. R. (Ernest Rudolph)",https://viaf.org/viaf/29429955,"Knorr, E. R. (Ernest Rudolph)"
"Kolpakov, Ivan Ivanovich, 1771-1840.",https://viaf.org/viaf/75130000,"Kolpakov, Ivan Ivanovich, 1771-1840"
"Koppenhagen, Wilh.",https://viaf.org/viaf/14587857,"Koppenhagen, Wilh."
"Krafft, J. C. P. de.",https://viaf.org/viaf/19481633,"Krafft, J. C. P. de"
"Kraus, Iohann Thomas, 1696-1775.",https://viaf.org/viaf/67563996,"Kraus, Johann Thomas, 1696-1775"
"Kraus, Johann Thomas, 1697-1775.",https://viaf.org/viaf/67563996,"Kraus, Johann Thomas, 1696-1775"
"Kroll Map Company, inc.",https://viaf.org/viaf/155906995,"Kroll Map Company, inc."
"Kruzenshtern, Ivan Fedorovich, 1770-1846.",https://viaf.org/viaf/22942094,"Kruzenshtern, Ivan Fedorovich, 1770-1846."
"Kunkler, John E.",https://viaf.org/viaf/63782800,"Kunkler, John E."
L.H. Bradford & Co.,https://viaf.org/viaf/131797613,L.H. Bradford & Co.
L.H. Everts & Co.,https://viaf.org/viaf/155973424,L.H. Everts & Co.
L.J. Richards & Co.,https://viaf.org/viaf/132430484,L.J. Richards & Co.
